full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,61111,61111,4553,192,192,6,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,31372,31372,3792,733,733,113,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,15414,15414,3438,53,53,7,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,26646,26646,2076,27,27,4,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,18512,18512,1690,47,47,8,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,21996,21996,1244,54,54,2,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5348,5348,1400,10,10,2,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8639,8639,1125,8,8,1,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,8841,8841,960,23,23,0,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3542,3542,523,4,4,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5115,5115,435,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
frankbria/ralph-claude-code,5734,5734,393,32,32,8,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,3585,3585,532,55,55,14,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,2929,2929,395,4,4,-1,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5286,5286,200,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2014,2014,352,1,1,1,https://github.com/Yuyz0112/claude-code-reverse
zebbern/claude-code-guide,3211,3211,290,14,14,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,6315,6315,309,6,6,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,2120,2120,450,2,2,0,https://github.com/disler/claude-code-hooks-mastery
fuergaosi233/claude-code-proxy,1951,1951,271,5,5,1,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2297,2297,252,0,0,-1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,562,562,600,1,1,0,https://github.com/anthropics/claude-code-base-action
anthropics/skills,54737,54737,5341,657,657,64,https://github.com/anthropics/skills
